FootballerID,Season,ClubID,SalaryRecordID,FirstName,LastName,Nationality,Position,BirthDate,Appearances,ShirtNumber
229,2015/16,2,488,Michael,Carrick,England,Midfielder,1981/7/28,28,16
230,2015/16,2,133,Ashley,Young,England,Midfielder,1985/7/9,18,18
231,2015/16,2,134,Ander,Herrera,Spain,Midfielder,1989/8/14,27,21
232,2015/16,2,138,Antonio,Valencia,Ecuador,Midfielder,1985/8/4,14,25
233,2015/16,2,139,Marouane,Fellaini,Belgium,Midfielder,1987/11/22,18,27
234,2015/16,2,489,Morgan,Schneiderlin,France,Midfielder,1989/11/8,29,28
235,2015/16,2,490,Bastian,Schweinsteiger,Germany,Midfielder,1984/8/1,18,31
236,2015/16,2,491,Jesse,Lingard,England,Midfielder,1992/12/15,25,35
237,2015/16,2,147,James,Wilson,England,Forward,1995/12/1,1,
238,2015/16,2,130,Wayne,Rooney,England,Forward,1985/10/24,28,10
239,2015/16,2,492,Memphis,Depay,Netherlands,Forward,1994/2/13,28,7
240,2015/16,2,483,Marcus,Rashford,England,Forward,1997/10/31,11,39
241,2015/16,4,94,Simon,Mignolet,Belgium,Goalkeeper,1988/3/6,34,22
242,2015/16,4,93,Adam,Bogdan,Hungary,Goalkeeper,1987/9/27,2,
243,2015/16,4,85,Nathaniel,Clyne,England,Defender,1991/4/5,33,2
244,2015/16,4,494,Kolo,Tour,C_te d'Ivoire,Defender,1981/3/19,14,4
245,2015/16,4,88,Dejan,Lovren,Croatia,Defender,1989/7/5,24,6
246,2015/16,4,92,Jon,Flanagan,England,Defender,1993/1/1,5,
247,2015/16,4,82,Mamadou,Sakho,France,Defender,1990/2/13,22,17
248,2015/16,4,90,Alberto,Moreno,Spain,Defender,1992/7/5,32,18
249,2015/16,4,495,Martin,Skrtel,Slovakia,Defender,1984/12/15,22,37
250,2015/16,4,86,Philippe,Coutinho,Brazil,Midfielder,1992/6/12,26,10
251,2015/16,4,78,James,Milner,England,Midfielder,1986/1/4,28,7
252,2015/16,4,80,Roberto,Firmino,Brazil,Midfielder,1991/10/2,31,11
253,2015/16,4,81,Jordan,Henderson,England,Midfielder,1990/6/17,17,14
254,2015/16,4,91,Lazar,Markovic,Serbia,Midfielder,1994/3/2,0,30
255,2015/16,4,87,Adam,Lallana,England,Midfielder,1988/5/10,30,20
256,2015/16,4,84,Lucas,Leiva,Brazil,Midfielder,1987/1/9,27,21
257,2015/16,4,89,Emre,Can,Germany,Midfielder,1994/1/12,30,23
258,2015/16,4,496,Joe,Allen,Wales,Midfielder,1990/3/14,19,24
259,2015/16,4,99,Jordon,Ibe,England,Midfielder,1995/12/8,27,33
260,2015/16,4,97,Kevin,Stewart,England,Midfielder,1993/9/7,7,35
261,2015/16,4,100,Sheyi,Ojo,England,Midfielder,1997/6/19,8,54
262,2015/16,4,77,Christian,Benteke,Belgium,Forward,1990/12/3,29,9
263,2015/16,4,79,Daniel,Sturridge,England,Forward,1989/9/1,14,15
264,2015/16,4,95,Divock,Origi,Belgium,Forward,1995/4/18,16,27
265,2015/16,4,83,Danny,Ings,England,Forward,1992/3/16,6,28
266,2015/16,5,55,Asmir,Begovic,Bosnia and Herzegovina,Goalkeeper,1987/6/20,17,1
267,2015/16,5,42,Thibaut,Courtois,Belgium,Goalkeeper,1992/5/11,23,13
268,2015/16,5,50,Branislav,Ivanovic,Serbia,Defender,1984/2/22,33,2
269,2015/16,5,59,Kurt,Zouma,France,Defender,1994/10/27,23,5
270,2015/16,5,47,Baba,Rahman,Ghana,Defender,1994/7/2,15,6
271,2015/16,5,43,Gary,Cahill,England,Defender,1985/12/19,23,24
272,2015/16,5,40,John,Terry,England,Defender,1980/12/7,24,26
273,2015/16,5,54,Cesar,Azpilicueta,Spain,Defender,1989/8/28,37,28
274,2015/16,5,37,Cesc,Fabregas,Spain,Midfielder,1987/5/4,37,4
275,2015/16,5,53,Ramires,Nascimento,Brazil,Midfielder,1987/3/24,12,7
276,2015/16,5,39,Oscar,Junior,Brazil,Midfielder,1991/9/9,27,8
277,2015/16,5,35,Eden,Hazard,Belgium,Midfielder,1991/1/7,31,10
278,2015/16,5,49,John,Mikel,Nigeria,Midfielder,1987/4/22,25,12
279,2015/16,5,497,Bertrand,Traor,Burkina Faso,Midfielder,1995/9/6,10,14
280,2015/16,5,45,Nemanja,Matic,Serbia,Midfielder,1988/8/1,33,21
281,2015/16,5,48,Willian,Silva,Brazil,Midfielder,1988/8/9,35,22
282,2015/16,5,498,Ruben,Loftus-Cheek,England,Midfielder,1996/1/23,13,36
283,2015/16,5,34,Fernando,Torres,Spain,Forward,1984/3/20,0,
284,2015/16,5,44,Pedro,Ledesma,Spain,Forward,1987/7/28,29,17
285,2015/16,5,46,Loic,Remy,France,Forward,1987/1/2,13,18
286,2015/16,5,36,Diego,Costa,Spain,Forward,1988/10/7,28,19
287,2015/16,6,8,Petr,Cech,Czech Republic,Goalkeeper,1982/5/20,34,33
288,2015/16,6,18,Kieran,Gibbs,England,Defender,1989/9/26,15,3
289,2015/16,6,11,Mathieu,Debuchy,France,Defender,1985/7/28,2,
290,2015/16,6,13,Per,Mertesacker,Germany,Defender,1984/9/29,24,4
291,2015/16,6,499,Gabriel,Paulista,Brazil,Defender,1990/11/26,21,5
292,2015/16,6,16,Laurent,Koscielny,France,Defender,1985/9/10,33,6
293,2015/16,6,14,Nacho,Monreal,Spain,Defender,1986/2/26,37,18
294,2015/16,6,17,hector,Bellerin,Spain,Defender,1995/3/19,36,24
295,2015/16,6,2,Mesut,Ozil,Germany,Midfielder,1988/10/15,35,11
296,2015/16,6,4,Theo,Walcott,England,Midfielder,1989/3/16,28,14
297,2015/16,6,9,Jack,Wilshere,England,Midfielder,1992/1/1,3,10
298,2015/16,6,15,Alex,Oxlade-Chamberlain,England,Midfielder,1993/8/15,22,15
299,2015/16,6,6,Aaron,Ramsey,Wales,Midfielder,1990/12/26,31,16
300,2015/16,6,3,Alexis,Sanchez,Chile,Midfielder,1988/12/19,30,17
301,2015/16,6,7,Santi,Cazorla,Spain,Midfielder,1984/12/13,15,19
302,2015/16,6,500,Mathieu,Flamini,France,Midfielder,1984/3/7,16,20
303,2015/16,6,19,Calum,Chambers,England,Midfielder,1995/1/20,12,21
304,2015/16,6,501,Joel,Campbell,Costa Rica,Midfielder,1992/6/26,19,28
305,2015/16,6,502,Francis,Coquelin,France,Midfielder,1991/5/13,26,34
306,2015/16,6,503,Mohamed,Elneny,Egypt,Midfielder,1992/6/11,11,35
307,2015/16,6,24,Alex,Iwobi,Nigeria,Midfielder,1996/5/3,13,45
308,2015/16,6,10,Olivier,Giroud,France,Forward,1986/9/30,38,12
309,2015/16,6,5,Danny,Welbeck,England,Forward,1990/11/26,11,23
310,2015/16,15,504,Angel,Maria,Argentina,Midfielder,1988/2/14,39,11
311,2015/16,16,,Javier,Hernandez,Mexico,Forward,1988/6/1,28,17
312,2015/16,10,,Jonny,Evans,Northern Ireland,Defender,1988/1/3,30,6
313,2017/18,25,,Kelechi,Iheanacho,Nigeria,Forward,1996/10/3,21,8
314,2017/18,26,,Enes,Enes,Turkey,Forward,1997/5/10,,9
315,2017/18,27,,Nolito,Duran,Spain,Forward,1986/10/5,23,8
316,2017/18,28,,Aaron,Mooy,Australia,Midfielder,1990/9/15,35,10
317,2017/18,29,,Olivier,Ntcham,France,Midfielder,1996/2/9,44,21
318,2017/18,31,,Adnan,Januzaj,Belgium,Midfielder,1995/2/5,22,11
